DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High
117	0.188034188	0.316239316	0.427350427	0.581196581	0.683760684	0.811965812
118	0.186440678	0.322033898	0.423728814	0.576271186	0.686440678	0.813559322
119	0.18487395	0.319327731	0.428571429	0.571428571	0.680672269	0.81512605
120	0.191666667	0.316666667	0.425	0.575	0.683333333	0.816666667
121	0.190082645	0.314049587	0.421487603	0.570247934	0.685950413	0.809917355
122	0.18852459	0.319672131	0.426229508	0.573770492	0.68852459	0.81147541
123	0.18699187	0.317073171	0.430894309	0.569105691	0.682926829	0.81300813
124	0.185483871	0.314516129	0.427419355	0.572580645	0.685483871	0.814516129
125	0.192	0.312	0.424	0.576	0.688	0.816
126	0.19047619	0.317460317	0.428571429	0.571428571	0.682539683	0.80952381
127	0.188976378	0.31496063	0.42519685	0.57480315	0.68503937	0.811023622
128	0.1875	0.3125	0.4296875	0.5703125	0.6875	0.8125
129	0.186046512	0.310077519	0.426356589	0.573643411	0.682170543	0.813953488
130	0.192307692	0.315384615	0.423076923	0.569230769	0.684615385	0.807692308
131	0.190839695	0.312977099	0.427480916	0.572519084	0.687022901	0.809160305
132	0.189393939	0.310606061	0.431818182	0.568181818	0.689393939	0.810606061
133	0.187969925	0.315789474	0.428571429	0.571428571	0.684210526	0.812030075
134	0.186567164	0.313432836	0.432835821	0.574626866	0.686567164	0.813432836
135	0.192592593	0.311111111	0.42962963	0.57037037	0.688888889	0.807407407
136	0.191176471	0.308823529	0.426470588	0.573529412	0.691176471	0.808823529
137	0.189781022	0.306569343	0.430656934	0.569343066	0.686131387	0.810218978
138	0.188405797	0.311594203	0.427536232	0.572463768	0.688405797	0.811594203
139	0.194244604	0.309352518	0.431654676	0.568345324	0.690647482	0.81294964
140	0.192857143	0.307142857	0.428571429	0.571428571	0.685714286	0.807142857
141	0.191489362	0.312056738	0.425531915	0.567375887	0.687943262	0.808510638
142	0.190140845	0.309859155	0.429577465	0.570422535	0.690140845	0.809859155
143	0.188811189	0.307692308	0.433566434	0.566433566	0.685314685	0.804195804
144	0.194444444	0.3125	0.430555556	0.569444444	0.6875	0.805555556
145	0.193103448	0.310344828	0.434482759	0.565517241	0.689655172	0.806896552
146	0.191780822	0.308219178	0.431506849	0.568493151	0.691780822	0.808219178
147	0.19047619	0.31292517	0.43537415	0.56462585	0.68707483	0.80952381
148	0.195945946	0.310810811	0.432432432	0.567567568	0.689189189	0.804054054
149	0.194630872	0.308724832	0.436241611	0.563758389	0.691275168	0.805369128
150	0.193333333	0.306666667	0.433333333	0.566666667	0.693333333	0.806666667
151	0.19205298	0.311258278	0.430463576	0.569536424	0.688741722	0.80794702
152	0.190789474	0.309210526	0.434210526	0.565789474	0.690789474	0.809210526
153	0.196078431	0.307189542	0.437908497	0.568627451	0.692810458	0.810457516
154	0.194805195	0.311688312	0.435064935	0.564935065	0.694805195	0.805194805
155	0.193548387	0.309677419	0.432258065	0.567741935	0.690322581	0.806451613
156	0.192307692	0.307692308	0.435897436	0.564102564	0.692307692	0.807692308
157	0.197452229	0.305732484	0.433121019	0.566878981	0.694267516	0.802547771
158	0.196202532	0.310126582	0.436708861	0.569620253	0.696202532	0.803797468
159	0.194968553	0.308176101	0.433962264	0.566037736	0.691823899	0.805031447
160	0.19375	0.30625	0.4375	0.5625	0.69375	0.80625
161	0.192546584	0.304347826	0.434782609	0.565217391	0.695652174	0.807453416
162	0.197530864	0.308641975	0.438271605	0.561728395	0.691358025	0.802469136
163	0.196319018	0.306748466	0.435582822	0.564417178	0.693251534	0.803680982
164	0.195121951	0.304878049	0.43902439	0.567073171	0.695121951	0.804878049
165	0.193939394	0.303030303	0.436363636	0.563636364	0.690909091	0.806060606
166	0.198795181	0.307228916	0.43373494	0.560240964	0.692771084	0.801204819
167	0.19760479	0.305389222	0.437125749	0.562874251	0.694610778	0.80239521
168	0.196428571	0.303571429	0.43452381	0.56547619	0.696428571	0.803571429
169	0.195266272	0.307692308	0.437869822	0.562130178	0.692307692	0.804733728
170	0.194117647	0.305882353	0.435294118	0.564705882	0.694117647	0.8
171	0.198830409	0.304093567	0.438596491	0.561403509	0.695906433	0.801169591
172	0.197674419	0.302325581	0.436046512	0.563953488	0.697674419	0.802325581
173	0.196531792	0.306358382	0.439306358	0.560693642	0.693641618	0.803468208
174	0.195402299	0.304597701	0.436781609	0.563218391	0.695402299	0.804597701
175	0.2	0.302857143	0.44	0.56	0.691428571	0.8
